InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales,Year,Month,MonthName
550008,22456,NATURAL SLATE CHALKBOARD LARGE ,3,2011-04-14 10:17:00,4.95,15570.0,United Kingdom,14.850000000000001,2011,4,April
564170,22099,CARAVAN SQUARE TISSUE BOX,36,2011-08-23 13:59:00,0.39,17696.0,United Kingdom,14.040000000000001,2011,8,August
578233,23402,HOME SWEET HOME 3 PEG HANGER ,1,2011-11-23 12:20:00,3.75,14049.0,United Kingdom,3.75,2011,11,November
573153,22417,PACK OF 60 SPACEBOY CAKE CASES,72,2011-10-28 07:39:00,0.55,12678.0,France,39.6,2011,10,October
559691,23209,LUNCH BAG DOILEY PATTERN ,10,2011-07-11 15:52:00,1.65,13089.0,United Kingdom,16.5,2011,7,July
540954,20752,BLUE POLKADOT WASHING UP GLOVES,1,2011-01-12 13:19:00,2.1,14606.0,United Kingdom,2.1,2011,1,January
551471,22487,WHITE WOOD GARDEN PLANT LADDER,2,2011-04-28 16:40:00,9.95,16370.0,United Kingdom,19.9,2011,4,April
546520,22260,FELT EGG COSY BLUE RABBIT ,12,2011-03-14 12:28:00,0.85,14911.0,EIRE,10.2,2011,3,March
536856,22865,HAND WARMER OWL DESIGN,12,2010-12-03 10:26:00,2.1,13370.0,United Kingdom,25.200000000000003,2010,12,December
559133,23242,TREASURE TIN BUFFALO BILL ,22,2011-07-06 13:13:00,2.08,17861.0,United Kingdom,45.760000000000005,2011,7,July
547577,21166,COOK WITH WINE METAL SIGN ,48,2011-03-24 10:37:00,1.85,13183.0,United Kingdom,88.80000000000001,2011,3,March
555551,79030D,TUMBLER BAROQUE,24,2011-06-05 13:32:00,0.39,14696.0,United Kingdom,9.36,2011,6,June
570118,23046,PAPER LANTERN 9 POINT DELUXE STAR,6,2011-10-07 12:44:00,6.65,13276.0,United Kingdom,39.900000000000006,2011,10,October
571410,23112,PARISIENNE CURIO CABINET,4,2011-10-17 12:32:00,7.5,17527.0,United Kingdom,30.0,2011,10,October
547647,21086,SET/6 RED SPOTTY PAPER CUPS,12,2011-03-24 11:43:00,0.65,15144.0,United Kingdom,7.800000000000001,2011,3,March
569228,85032C,CURIOUS IMAGES GIFT WRAP SET,12,2011-10-02 14:47:00,0.65,15547.0,United Kingdom,7.800000000000001,2011,10,October
549251,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2,2011-04-07 12:16:00,0.85,14449.0,United Kingdom,1.7,2011,4,April
559121,85015,SET OF 12  VINTAGE POSTCARD SET,24,2011-07-06 12:18:00,0.65,13599.0,United Kingdom,15.600000000000001,2011,7,July
540188,21518,BANK ACCOUNT  GREETING  CARD ,12,2011-01-05 13:57:00,0.42,16771.0,United Kingdom,5.04,2011,1,January
554040,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,2011-05-20 14:35:00,0.85,15290.0,United Kingdom,20.4,2011,5,May
556960,22423,REGENCY CAKESTAND 3 TIER,4,2011-06-16 09:28:00,12.75,14844.0,United Kingdom,51.0,2011,6,June
551658,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2011-05-03 12:13:00,0.85,16746.0,United Kingdom,17.0,2011,5,May
573572,23355,HOT WATER BOTTLE KEEP CALM,2,2011-10-31 14:03:00,4.95,14527.0,United Kingdom,9.9,2011,10,October
557742,84978,HANGING HEART JAR T-LIGHT HOLDER,36,2011-06-22 11:46:00,1.06,14911.0,EIRE,38.160000000000004,2011,6,June
575390,23220,REINDEER HEART DECORATION GOLD,12,2011-11-09 15:31:00,0.83,12971.0,United Kingdom,9.959999999999999,2011,11,November
577545,20754,RETROSPOT RED WASHING UP GLOVES,3,2011-11-20 14:43:00,2.1,16931.0,United Kingdom,6.300000000000001,2011,11,November
569493,48187,DOORMAT NEW ENGLAND,2,2011-10-04 13:35:00,8.25,13317.0,United Kingdom,16.5,2011,10,October
554376,20974,12 PENCILS SMALL TUBE SKULL,5,2011-05-24 11:31:00,0.65,15719.0,United Kingdom,3.25,2011,5,May
573510,22199,FRYING PAN RED RETROSPOT,1,2011-10-31 12:21:00,4.25,14808.0,United Kingdom,4.25,2011,10,October
569668,22865,HAND WARMER OWL DESIGN,12,2011-10-05 13:47:00,2.1,16040.0,United Kingdom,25.200000000000003,2011,10,October
571291,23114,VINTAGE LEAF CHOPPING BOARD  ,1,2011-10-16 15:44:00,4.95,13610.0,United Kingdom,4.95,2011,10,October
548616,22621,TRADITIONAL KNITTING NANCY,24,2011-04-01 11:48:00,1.45,18263.0,United Kingdom,34.8,2011,4,April
549690,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2011-04-11 13:41:00,2.95,17841.0,United Kingdom,2.95,2011,4,April
554835,21530,DAIRY MAID TOASTRACK,18,2011-05-26 16:11:00,0.79,15241.0,United Kingdom,14.22,2011,5,May
557891,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,2011-06-23 14:05:00,1.65,17652.0,United Kingdom,9.899999999999999,2011,6,June
579194,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-11-28 15:50:00,0.29,15804.0,United Kingdom,13.919999999999998,2011,11,November
567656,22469,HEART OF WICKER SMALL,2,2011-09-21 14:40:00,1.63,14096.0,United Kingdom,3.26,2011,9,September
560232,23321,SMALL WHITE HEART OF WICKER,4,2011-07-17 11:08:00,1.65,14810.0,United Kingdom,6.6,2011,7,July
539353,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2010-12-17 11:30:00,3.75,12782.0,Portugal,15.0,2010,12,December
547037,22659,LUNCH BOX I LOVE LONDON,64,2011-03-20 10:37:00,1.65,14101.0,United Kingdom,105.6,2011,3,March
573142,23196,VINTAGE LEAF MAGNETIC NOTEPAD,36,2011-10-27 17:48:00,1.45,18035.0,United Kingdom,52.199999999999996,2011,10,October
578293,23245,SET OF 3 REGENCY CAKE TINS,4,2011-11-23 14:36:00,4.95,15640.0,United Kingdom,19.8,2011,11,November
559011,23173,REGENCY TEAPOT ROSES ,2,2011-07-05 12:50:00,9.95,17049.0,United Kingdom,19.9,2011,7,July
558761,22469,HEART OF WICKER SMALL,2,2011-07-03 12:52:00,1.65,15033.0,United Kingdom,3.3,2011,7,July
567183,22400,MAGNETS PACK OF 4 HOME SWEET HOME,12,2011-09-18 15:32:00,0.39,14769.0,United Kingdom,4.68,2011,9,September
544460,22147,FELTCRAFT BUTTERFLY HEARTS,3,2011-02-20 14:01:00,1.45,16931.0,United Kingdom,4.35,2011,2,February
538905,22834,HAND WARMER BABUSHKA DESIGN,24,2010-12-15 10:31:00,0.85,13611.0,United Kingdom,20.4,2010,12,December
548404,21877,HOME SWEET HOME MUG,12,2011-03-31 09:38:00,1.25,16398.0,United Kingdom,15.0,2011,3,March
564056,23231,WRAP  VINTAGE DOILY ,25,2011-08-22 14:13:00,0.42,14387.0,United Kingdom,10.5,2011,8,August
550408,20723,STRAWBERRY CHARLOTTE BAG,10,2011-04-18 11:59:00,0.85,16746.0,United Kingdom,8.5,2011,4,April
578506,23469,CARD HOLDER LOVE BIRD SMALL,3,2011-11-24 13:01:00,4.15,17458.0,United Kingdom,12.450000000000001,2011,11,November
540992,21063,PARTY INVITES JAZZ HEARTS,3,2011-01-12 16:57:00,0.85,17364.0,United Kingdom,2.55,2011,1,January
553067,21868,POTTING SHED TEA MUG,6,2011-05-13 11:44:00,1.25,16871.0,United Kingdom,7.5,2011,5,May
552835,21213,PACK OF 72 SKULL CAKE CASES,24,2011-05-11 14:17:00,0.55,17664.0,United Kingdom,13.200000000000001,2011,5,May
538799,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2010-12-14 11:48:00,4.95,15039.0,United Kingdom,4.95,2010,12,December
555630,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,16,2011-06-06 12:04:00,0.42,14732.0,United Kingdom,6.72,2011,6,June
578522,22972,CHILDREN'S SPACEBOY MUG,2,2011-11-24 14:09:00,1.65,17254.0,United Kingdom,3.3,2011,11,November
563935,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-08-21 16:24:00,0.85,15547.0,United Kingdom,10.2,2011,8,August
570418,23099,FRENCH CARRIAGE LANTERN,2,2011-10-10 13:31:00,6.65,15211.0,United Kingdom,13.3,2011,10,October
561774,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-07-29 12:41:00,1.69,16729.0,United Kingdom,13.52,2011,7,July
560711,20702,PINK PADDED MOBILE,1,2011-07-20 12:58:00,4.25,17841.0,United Kingdom,4.25,2011,7,July
540511,22269,EGG CUP NATURAL CHICKEN,3,2011-01-09 11:34:00,1.25,14472.0,United Kingdom,3.75,2011,1,January
551283,21564,PINK  HEART SHAPE LOVE BUCKET ,4,2011-04-27 14:01:00,2.95,16755.0,United Kingdom,11.8,2011,4,April
580133,23569,TRADTIONAL ALPHABET STAMP SET,3,2011-12-01 18:43:00,4.95,15531.0,United Kingdom,14.850000000000001,2011,12,December
564335,22918,HERB MARKER PARSLEY,2,2011-08-24 14:23:00,0.65,15800.0,United Kingdom,1.3,2011,8,August
562276,21930,JUMBO STORAGE BAG SKULLS,10,2011-08-04 10:23:00,2.08,17735.0,United Kingdom,20.8,2011,8,August
537852,22925,BLUE GIANT GARDEN THERMOMETER,5,2010-12-08 15:56:00,5.95,17340.0,United Kingdom,29.75,2010,12,December
550633,21136,PAINTED METAL PEARS ASSORTED,4,2011-04-19 14:57:00,1.69,17449.0,United Kingdom,6.76,2011,4,April
567878,22091,EMPIRE TISSUE BOX,3,2011-09-22 14:42:00,0.39,16910.0,United Kingdom,1.17,2011,9,September
562688,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,2011-08-08 13:53:00,1.25,13869.0,United Kingdom,7.5,2011,8,August
575089,23103,JINGLE BELL HEART DECORATION,24,2011-11-08 14:02:00,1.65,13437.0,United Kingdom,39.599999999999994,2011,11,November
568696,23405,HOME SWEET HOME 2 DRAWER CABINET,4,2011-09-28 14:56:00,4.95,13842.0,United Kingdom,19.8,2011,9,September
571629,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-10-18 11:18:00,1.25,13362.0,United Kingdom,15.0,2011,10,October
566816,20685,DOORMAT RED RETROSPOT,10,2011-09-15 10:53:00,7.08,12731.0,France,70.8,2011,9,September
569224,23321,SMALL WHITE HEART OF WICKER,3,2011-10-02 14:00:00,1.65,15701.0,United Kingdom,4.949999999999999,2011,10,October
566040,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-09-08 13:38:00,2.95,12540.0,Spain,17.700000000000003,2011,9,September
576606,23169,CLASSIC GLASS COOKIE JAR,12,2011-11-15 15:33:00,4.15,13410.0,United Kingdom,49.800000000000004,2011,11,November
537852,21820,GLITTER HEART GARLAND WITH BELLS ,18,2010-12-08 15:56:00,3.75,17340.0,United Kingdom,67.5,2010,12,December
556495,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2011-06-12 15:14:00,7.95,18069.0,United Kingdom,7.95,2011,6,June
539477,20992,JAZZ HEARTS PURSE NOTEBOOK,12,2010-12-19 14:58:00,0.85,18245.0,United Kingdom,10.2,2010,12,December
572721,21484,CHICK GREY HOT WATER BOTTLE,4,2011-10-25 15:07:00,4.25,16201.0,United Kingdom,17.0,2011,10,October
567099,22681,FRENCH BLUE METAL DOOR SIGN 6,2,2011-09-16 13:31:00,1.25,15311.0,United Kingdom,2.5,2011,9,September
564544,21098,CHRISTMAS TOILET ROLL,12,2011-08-25 15:50:00,1.25,15663.0,United Kingdom,15.0,2011,8,August
571681,23543,WALL ART KEEP CALM ,2,2011-10-18 13:44:00,8.25,16734.0,United Kingdom,16.5,2011,10,October
563328,21581,SKULLS  DESIGN  COTTON TOTE BAG,1,2011-08-15 13:07:00,2.25,14606.0,United Kingdom,2.25,2011,8,August
555408,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-06-03 08:54:00,8.5,13294.0,United Kingdom,17.0,2011,6,June
557621,21682,LARGE MEDINA STAMPED METAL BOWL ,4,2011-06-21 14:00:00,4.95,12444.0,Norway,19.8,2011,6,June
579281,POST,POSTAGE,1,2011-11-29 10:36:00,40.0,12375.0,Finland,40.0,2011,11,November
538145,84915,HAND TOWEL PINK FLOWER AND DAISY,2,2010-12-09 16:08:00,5.95,15211.0,United Kingdom,11.9,2010,12,December
549569,20886,BOX OF 9 PEBBLE CANDLES,2,2011-04-10 15:15:00,1.95,15547.0,United Kingdom,3.9,2011,4,April
557948,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-06-23 16:35:00,1.45,13937.0,United Kingdom,17.4,2011,6,June
565766,22981,PANTRY APPLE CORER,2,2011-09-06 14:23:00,1.45,17841.0,United Kingdom,2.9,2011,9,September
549316,23050,RECYCLED ACAPULCO MAT GREEN,6,2011-04-08 09:54:00,8.25,12705.0,Germany,49.5,2011,4,April
581098,22072,RED RETROSPOT TEA CUP AND SAUCER ,12,2011-12-07 11:42:00,1.25,14911.0,EIRE,15.0,2011,12,December
574701,23397,FOOT STOOL HOME SWEET HOME ,1,2011-11-06 13:54:00,9.95,15426.0,United Kingdom,9.95,2011,11,November
562708,22371,AIRLINE BAG VINTAGE TOKYO 78,2,2011-08-08 14:15:00,4.25,17085.0,United Kingdom,8.5,2011,8,August
538903,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2010-12-15 10:17:00,0.85,13496.0,United Kingdom,10.2,2010,12,December
548796,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,8,2011-04-04 12:42:00,0.42,15752.0,United Kingdom,3.36,2011,4,April
569236,85032A,ROMANTIC IMAGES GIFT WRAP SET,2,2011-10-02 15:49:00,0.65,14432.0,United Kingdom,1.3,2011,10,October
578036,23338,EGG FRYING PAN RED ,1,2011-11-22 14:04:00,2.08,16474.0,United Kingdom,2.08,2011,11,November
548198,22993,SET OF 4 PANTRY JELLY MOULDS,3,2011-03-29 16:05:00,1.25,16712.0,United Kingdom,3.75,2011,3,March
550327,85114A,BLACK ENCHANTED FOREST PLACEMAT,6,2011-04-17 13:07:00,1.65,12878.0,United Kingdom,9.899999999999999,2011,4,April
539988,22938,CUPCAKE LACE PAPER SET 6,2,2010-12-23 16:06:00,1.95,18116.0,United Kingdom,3.9,2010,12,December
570482,22867,HAND WARMER BIRD DESIGN,1,2011-10-10 17:00:00,2.1,17459.0,United Kingdom,2.1,2011,10,October
567637,23423,PANTRY 3 HOOK ROLLING PIN HANGER,6,2011-09-21 13:57:00,3.75,17865.0,United Kingdom,22.5,2011,9,September
574063,22123,PING MICROWAVE APRON,1,2011-11-02 14:31:00,1.95,13271.0,United Kingdom,1.95,2011,11,November
566580,22838,3 TIER CAKE TIN RED AND CREAM,2,2011-09-13 13:46:00,14.95,12822.0,United Kingdom,29.9,2011,9,September
548716,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-04-03 15:50:00,4.95,14023.0,United Kingdom,14.850000000000001,2011,4,April
564972,23320,GIANT 50'S CHRISTMAS CRACKER,12,2011-08-31 15:30:00,2.89,12621.0,Germany,34.68,2011,8,August
545070,84988,SET OF 72 PINK HEART PAPER DOILIES,24,2011-02-27 15:42:00,1.45,16493.0,United Kingdom,34.8,2011,2,February
542713,22059,CERAMIC STRAWBERRY DESIGN MUG,12,2011-01-31 13:27:00,1.49,12668.0,Germany,17.88,2011,1,January
569246,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,2011-10-03 09:57:00,1.25,14096.0,United Kingdom,1.25,2011,10,October
565854,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2011-09-07 13:22:00,0.85,12490.0,France,10.2,2011,9,September
569234,22807,SET OF 6 T-LIGHTS TOADSTOOLS,1,2011-10-02 15:33:00,2.95,17841.0,United Kingdom,2.95,2011,10,October
561028,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-07-24 11:06:00,1.69,17769.0,United Kingdom,13.52,2011,7,July
580160,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2011-12-02 10:47:00,0.85,12700.0,France,8.5,2011,12,December
540122,84817,DANISH ROSE DECORATIVE PLATE,120,2011-01-05 10:39:00,0.42,13694.0,United Kingdom,50.4,2011,1,January
547842,35241,ENAMEL BLUE RIM BISCUIT BIN,3,2011-03-27 11:14:00,4.95,13875.0,United Kingdom,14.850000000000001,2011,3,March
573175,22633,HAND WARMER UNION JACK,12,2011-10-28 10:27:00,2.1,15096.0,United Kingdom,25.200000000000003,2011,10,October
566420,23301,GARDENERS KNEELING PAD KEEP CALM ,2,2011-09-12 13:50:00,1.65,16360.0,United Kingdom,3.3,2011,9,September
554770,20725,LUNCH BAG RED RETROSPOT,10,2011-05-26 11:40:00,1.65,14911.0,EIRE,16.5,2011,5,May
568480,23250,VINTAGE RED TRIM ENAMEL BOWL ,12,2011-09-27 11:52:00,1.25,17490.0,United Kingdom,15.0,2011,9,September
551028,22505,MEMO BOARD COTTAGE DESIGN,4,2011-04-26 11:30:00,4.95,13842.0,United Kingdom,19.8,2011,4,April
553149,23167,SMALL CERAMIC TOP STORAGE JAR ,12,2011-05-13 14:16:00,0.83,14226.0,United Kingdom,9.959999999999999,2011,5,May
557972,85099B,JUMBO BAG RED RETROSPOT,10,2011-06-24 10:16:00,2.08,12500.0,Germany,20.8,2011,6,June
538991,22310,IVORY KNITTED MUG COSY ,50,2010-12-15 11:53:00,1.45,17511.0,United Kingdom,72.5,2010,12,December
538014,72741,GRAND CHOCOLATECANDLE,18,2010-12-09 12:49:00,1.45,14440.0,United Kingdom,26.099999999999998,2010,12,December
574249,23424,GINGHAM RECIPE BOOK BOX,2,2011-11-03 13:01:00,4.95,16347.0,United Kingdom,9.9,2011,11,November
581074,23005,TRAVEL CARD WALLET I LOVE LONDON,24,2011-12-07 11:27:00,0.42,15568.0,United Kingdom,10.08,2011,12,December
560504,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-07-19 11:47:00,1.25,13081.0,United Kingdom,15.0,2011,7,July
564079,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,6,2011-08-22 15:55:00,2.95,12627.0,Germany,17.700000000000003,2011,8,August
574882,15056P,EDWARDIAN PARASOL PINK,1,2011-11-07 13:45:00,5.95,13599.0,United Kingdom,5.95,2011,11,November
560922,22991,GIRAFFE WOODEN RULER,12,2011-07-21 19:34:00,1.95,14911.0,EIRE,23.4,2011,7,July
569566,22737,RIBBON REEL CHRISTMAS PRESENT ,20,2011-10-05 09:55:00,1.65,14739.0,United Kingdom,33.0,2011,10,October
576075,21240,BLUE POLKADOT CUP,3,2011-11-13 16:16:00,0.85,15861.0,United Kingdom,2.55,2011,11,November
563362,22534,MAGIC DRAWING SLATE SPACEBOY ,24,2011-08-15 16:13:00,0.42,15114.0,United Kingdom,10.08,2011,8,August
553730,21916,SET 12 RETRO WHITE CHALK STICKS,24,2011-05-19 07:49:00,0.42,16525.0,United Kingdom,10.08,2011,5,May
553385,23174,REGENCY SUGAR BOWL GREEN,1,2011-05-16 15:53:00,4.15,16710.0,United Kingdom,4.15,2011,5,May
571064,23356,LOVE HOT WATER BOTTLE,1,2011-10-13 14:48:00,5.95,17181.0,United Kingdom,5.95,2011,10,October
543923,22931,BAKING MOULD HEART WHITE CHOCOLATE,6,2011-02-14 14:14:00,2.55,14644.0,United Kingdom,15.299999999999999,2011,2,February
571099,21982,PACK OF 12 SUKI TISSUES ,48,2011-10-13 15:43:00,0.39,13911.0,United Kingdom,18.72,2011,10,October
543555,22796,PHOTO FRAME 3 CLASSIC HANGING,4,2011-02-10 10:18:00,9.95,17686.0,United Kingdom,39.8,2011,2,February
561205,22624,IVORY KITCHEN SCALES,2,2011-07-25 15:48:00,8.5,17693.0,United Kingdom,17.0,2011,7,July
581451,21258,VICTORIAN SEWING BOX LARGE,1,2011-12-08 17:57:00,12.75,17144.0,United Kingdom,12.75,2011,12,December
565648,21172,PARTY METAL SIGN ,1,2011-09-05 16:22:00,1.45,18196.0,United Kingdom,1.45,2011,9,September
568400,22470,HEART OF WICKER LARGE,6,2011-09-27 10:27:00,2.95,13644.0,United Kingdom,17.700000000000003,2011,9,September
C579894,23012,GLASS APOTHECARY BOTTLE PERFUME,-1,2011-12-01 08:26:00,3.95,13098.0,United Kingdom,-3.95,2011,12,December
567066,22679,FRENCH BLUE METAL DOOR SIGN 4,10,2011-09-16 12:17:00,1.25,13418.0,United Kingdom,12.5,2011,9,September
568186,22513,DOORSTOP FOOTBALL DESIGN,2,2011-09-25 14:08:00,3.75,17837.0,United Kingdom,7.5,2011,9,September
562721,22920,HERB MARKER BASIL,24,2011-08-08 16:31:00,0.65,15985.0,United Kingdom,15.600000000000001,2011,8,August
542517,22088,PAPER BUNTING COLOURED LACE,40,2011-01-28 12:11:00,2.55,13694.0,United Kingdom,102.0,2011,1,January
569843,21745,GAOLERS KEYS DECORATIVE GARDEN ,1,2011-10-06 13:29:00,3.75,14449.0,United Kingdom,3.75,2011,10,October
574700,23511,EMBROIDERED RIBBON REEL EMILY ,2,2011-11-06 13:53:00,2.08,16033.0,United Kingdom,4.16,2011,11,November
567308,21213,PACK OF 72 SKULL CAKE CASES,120,2011-09-19 13:35:00,0.42,16422.0,United Kingdom,50.4,2011,9,September
570272,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-10-10 10:45:00,1.25,14297.0,United Kingdom,15.0,2011,10,October
554151,20726,LUNCH BAG WOODLAND,10,2011-05-23 11:07:00,1.65,14049.0,United Kingdom,16.5,2011,5,May
553942,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-05-20 10:37:00,1.45,18055.0,United Kingdom,17.4,2011,5,May
569246,21790,VINTAGE SNAP CARDS,1,2011-10-03 09:57:00,1.63,14096.0,United Kingdom,1.63,2011,10,October
572675,22744,MAKE YOUR OWN MONSOON CARD KIT,2,2011-10-25 13:20:00,2.95,17917.0,United Kingdom,5.9,2011,10,October
559032,22711,WRAP CIRCUS PARADE,25,2011-07-05 14:53:00,0.42,17511.0,United Kingdom,10.5,2011,7,July
539593,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,12,2010-12-20 13:31:00,2.55,13319.0,United Kingdom,30.599999999999998,2010,12,December
552947,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-05-12 11:57:00,5.95,16943.0,United Kingdom,11.9,2011,5,May
C581390,21733,RED HANGING HEART T-LIGHT HOLDER,-3,2011-12-08 13:13:00,2.55,13081.0,United Kingdom,-7.6499999999999995,2011,12,December
550350,47566,PARTY BUNTING,8,2011-04-18 10:04:00,4.95,15491.0,United Kingdom,39.6,2011,4,April
C552556,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,-24,2011-05-10 11:21:00,0.85,17504.0,United Kingdom,-20.4,2011,5,May
554365,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,6,2011-05-24 10:22:00,3.29,13089.0,United Kingdom,19.740000000000002,2011,5,May
544790,21240,BLUE POLKADOT CUP,8,2011-02-23 12:27:00,0.85,16940.0,United Kingdom,6.8,2011,2,February
577317,20727,LUNCH BAG  BLACK SKULL.,2,2011-11-18 13:33:00,1.65,16426.0,United Kingdom,3.3,2011,11,November
559139,21500,PINK POLKADOT WRAP ,50,2011-07-06 13:41:00,0.42,15061.0,United Kingdom,21.0,2011,7,July
538449,21733,RED HANGING HEART T-LIGHT HOLDER,4,2010-12-12 12:24:00,2.95,17085.0,United Kingdom,11.8,2010,12,December
540953,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,2011-01-12 13:16:00,1.25,14587.0,United Kingdom,1.25,2011,1,January
554991,23204,CHARLOTTE BAG APPLES DESIGN,1,2011-05-29 14:03:00,0.85,14823.0,United Kingdom,0.85,2011,5,May
568062,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-09-23 13:18:00,0.55,14014.0,United Kingdom,13.200000000000001,2011,9,September
537332,84971S,SMALL HEART FLOWERS HOOK ,24,2010-12-06 11:58:00,0.85,14344.0,United Kingdom,20.4,2010,12,December
580727,21370,MIRRORED WALL ART FOXY,1,2011-12-05 17:17:00,12.46,14096.0,United Kingdom,12.46,2011,12,December
540121,20704,MR ROBOT SOFT TOY,24,2011-01-05 10:35:00,1.95,16145.0,United Kingdom,46.8,2011,1,January
548178,47566,PARTY BUNTING,12,2011-03-29 14:35:00,4.95,14367.0,United Kingdom,59.400000000000006,2011,3,March
548340,22029,SPACEBOY BIRTHDAY CARD,12,2011-03-30 14:23:00,0.42,13426.0,United Kingdom,5.04,2011,3,March
540753,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2011-01-11 10:31:00,4.25,14217.0,United Kingdom,17.0,2011,1,January
560914,47566,PARTY BUNTING,4,2011-07-21 18:08:00,4.95,17175.0,United Kingdom,19.8,2011,7,July
542611,82581,TOILET METAL SIGN,25,2011-01-30 14:13:00,0.55,15415.0,United Kingdom,13.750000000000002,2011,1,January
547834,22622,BOX OF VINTAGE ALPHABET BLOCKS,24,2011-03-27 10:16:00,8.5,17937.0,United Kingdom,204.0,2011,3,March
562101,20723,STRAWBERRY CHARLOTTE BAG,10,2011-08-02 14:04:00,0.85,13850.0,United Kingdom,8.5,2011,8,August
